,Unnamed: 0,Star_name,Distance,Mass,Radius,name,solar_distance,solar_mass,solar_radius,solar_gravities
54,58,Mu Cephei,"06,000",19.2,972,UGPS J072227.51-054031.2,13.4,2.3692195e-05,0.010349029,2.172185357476033
55,89,NML Cygni,"05,251",50,"1,640 - 2,770",TWA 26,137.0,2.7337148e-05,0.023232514,0.49733792739436233
56,61,P Cygni,"05,545",30,76,SDSS J074201.41+205520.5 [de],49.0,3.9183244e-05,0.00992662,3.9047064136285523
57,44,Peacock,0180,5.9,4.8,2MASS J04433764+0002040,82.0,2.0047242e-05,0.018797217,0.5571322698053212
58,76,Pistol Star,"025,000",100,320,2MASS J10073369-4555147,46.0,4.0094485e-05,0.00992662,3.995513815309263
59,47,Polaris,0430,5.4,39,2MASS J05002100+0330501 [de],44.0,5.831925e-05,0.010560233,5.135180580734437
60,66,Polaris Australis,0281,1.59,3.74,SDSSp J083008.12+482847.4 [de],43.0,4.3739437e-05,0.010454631,3.9295838673469263
61,17,Pollux,0034,1.9,8.8,SDSS J020742.48+000056.2 [de],111.0,4.2828196e-05,0.010243427,4.008021284529361
62,8,Procyon,0011.4,1.5,1.9,2MASSW J0045214+163445,57.0,2.095848e-05,0.017107578,0.7031913440874784
63,81,Proxima Centauri,04.25,0.12,0.15,DEN 1048-3956,13.15,7.016535e-05,0.011299451,5.396333736106823
64,67,R Coronae Borealis,"04,566",0.85,85,LHS 2021,55.0,8.018897e-05,0.012144269,5.339033790247463
65,65,R Doradus,0178,0.7 - 1.0,298,2MASS J08251968+2115521 [de],35.0,4.738439e-05,0.010349029,4.344370714952066
66,83,R136a1,"0163,000",290,32,Luhman 16A,6.516,3.644953e-05,0.010665837,3.1462471795352602
67,70,RW Cephei,"014,000",13.9,"1,158",2MASSI J0847287-153237 [de],43.0,5.831925e-05,0.010560233,5.135180580734437
68,54,Ran,010.48,0.82,0.74,2MASS J06244595-4521548 [de],39.0,5.1029343e-05,0.010454631,4.584514496931289
69,51,Rasalgethi,0360,2.8,280,SDSS J053951.99-005902.0,41.62,5.5585533e-05,0.010665837,4.7980269272117955
70,21,Regulus,0077,3.8,3.1,2MASS J02431371−2453298,35.0,3.0070863e-05,0.010454631,2.7015889144160594
71,60,Rho Cassiopeiae,"08,154",22,636-981,2MASS J07290002-3954043 [de],25.8,3.3715816e-05,0.00992662,3.3598637972884573
72,7,Rigel,0860,23,78.9,2MASS 0036+1821,28.6,3.8272006e-05,0.00992662,3.813899310905203
73,77,S Doradus,"0169,000",24,380,2MASSI J1010148-040649 [de],55.0,4.6473153e-05,0.010349029,4.260825240647537
74,37,Sargas,0270,5.7,26,2MASS J03510004-0052452,48.0,9.2946306e-05,0.013411497,5.074209706614153
75,49,Scheat,0196,2.1,95,2MASS J05160945-0445499 [de],73.0,4.2828196e-05,0.010243427,4.008021284529361
76,23,Shaula,0700,14.5,8.8,Teegarden's star,12.578,7.289906e-05,0.013411497,3.9797721262321875
77,1,Sirius,0008.6,2.1,1.71´,2MASS J00040288-6410358,192.0,1.7313527e-05,0.01721318,0.5737915117014266
78,16,Spica,0260,11.43,7.47,SDSS J015141.69+124429.6,70.0,4.2828196e-05,0.010243427,4.008021284529361
79,0,Sun,0.000015813,1,1,SDSS J000013.54+255418.6 [de],46.1,4.3739437e-05,0.010454631,3.9295838673469263
80,92,TRAPPIST-1,039.6,0.089,0.12,2MASS J12074836-3900043,217.0,1.549105e-05,0.018058,0.466479270812439
81,52,Tau Ceti,011.9,0.783,0.893,LSR 0602+3910 [de],34.6,2.5514672e-05,0.01488993,1.1300442993215147
82,59,Titawin,044.25,1.27,1.48,2MASSI J0727182+171001 [de],29.6,3.736077e-05,0.00992662,3.7230924074867624
83,78,UY Scuti,"05,100",7–10,755,2MASS J10224821+5825453 [de],60.0,2.4603432e-05,0.01488993,1.089685498420067
84,55,V382 Carinae,"08,900",20,485,2MASS J06411840-4322329 [de],65.0,6.105296e-05,0.010665837,5.269963788347314
85,72,V838 Monocerotis,"019,896",?,380 - 750,2MASSI J0859254-194926 [de],50.0,4.5561912e-05,0.010349029,4.177279399608671
86,90,VB 10,018.72,0.075,0.10,2MASS J11544223-3400390 [de],129.0,3.3715816e-05,0.01584035,1.31945602224311
87,86,VFTS 352,"0164,000",57.48,14.47,Cha 110913-773444,163.0,7.289906e-06,0.019008422,0.19811647375901162
88,63,VV Cephei,"04,900",18.2,"516 - 1,050",2MASS J07522390+1612157,60.0,1.8315889e-06,0.7180959,3.487818684467466e-05
89,75,VY Canis Majoris,"03,900",17,"1,420",2MASS J09490860-1545485 [de],59.0,4.4650675e-05,0.010137824,4.266083241243976
90,5,Vega,0025,2.2,2.7,2MASS J00332386-1521309 [de],131.0,2.6425909e-05,0.015101135,1.1378933155858892
91,94,WISE 0855−0714,07.27,0.003,?,2M 1237+6526,45.6,3.736077e-05,0.00992662,3.7230924074867624
92,91,WOH G64,"0163,000",<20,"1,540 - 1,730",2MASSW J1155395-372735 [de],31.0,5.831925e-05,0.010560233,5.135180580734437
93,85,WR 102,"018,134",19,0.39,TWA 28,180.0,3.280458e-05,0.02523896,0.5056876674638425
94,36,Wezen,"1,600",17,200,Teide 1,380.0,5.0118106e-05,0.03991768,0.3088551567681617
95,87,YBP 1194,"02,772",1.01,0.99,SDSS J111010.01+011613.1,63.0,8.201145e-06,0.01309469,0.46965055366984504
